"","Species","Performance metric","ms_mod_OM__ss_run_M_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",227874.01237839,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"2","Pollock","Catch IAV",0.139625333746759,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"3","Pollock","P(Closed)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.826682506045065,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.251870845882695,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.01175,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0235,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"14","Pollock","OM: Terminal B",4794775.53191802,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",981384.679481472,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",1152247.4859236,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",982.367046528,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.820781877647325,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",0.87269102028236,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"24","Arrowtooth flounder","Average Catch",35547.5936615782,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"25","Arrowtooth flounder","Catch IAV",0.0798582823790042,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.504551138325171,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000988329913502809,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"37","Arrowtooth flounder","OM: Terminal B",2083491.21748838,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"38","Arrowtooth flounder","OM: Terminal SSB",580306.13920498,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",698911.189723153,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",580.887026231211,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.828516248828087,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.837538218026783,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"47","Cod","Average Catch",18157.966939378,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"48","Cod","Catch IAV",0.176775104055803,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"49","Cod","P(Closed)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"50","Cod","Avg SSB Relative MSE",0.51004880012222,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"51","Cod","Avg terminal SSB Relative MSE",0.122707787680918,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"52","Cod","EM: P(Fy > Flimit)",0.0154375,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"53","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"54","Cod","OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"55","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.030875,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"60","Cod","OM: Terminal B",601624.214478167,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"61","Cod","OM: Terminal SSB",262838.636986565,"ms_mod_OM","ss_run_M_dynamicTier3_EM","TRUE",200
