"","Species","Performance metric","ms_mod_ricker_ssp126_OM__ss_run_Tier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",94931.2801867993,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"2","Pollock","Catch IAV",0.519631675586809,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"3","Pollock","P(Closed)",0.3743125,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.634199986710884,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.00750605106968185,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.0035,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.2616875,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.007,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.2616875,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"14","Pollock","OM: Terminal B",583203.853480485,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",147445.118032395,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"16","Pollock","OM: Terminal SSB Depletion",147.592710743138,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.956789423759463,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"18","Pollock","OM: Average SSB Depletion",0.8957657660989,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"19","Arrowtooth flounder","Average Catch",35519.4428130234,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"20","Arrowtooth flounder","Catch IAV",0.0795867933209401,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.36625053585463,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.214624789045464,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"32","Arrowtooth flounder","OM: Terminal B",1805590.91516491,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"33","Arrowtooth flounder","OM: Terminal SSB",492354.477063573,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",492.847324387961,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.815805882290781,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.818759062108352,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"37","Cod","Average Catch",22340.6285926593,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"38","Cod","Catch IAV",0.305275888815303,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"39","Cod","P(Closed)",0.0113125,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"40","Cod","Avg SSB Relative MSE",0.376940006971308,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"41","Cod","Avg terminal SSB Relative MSE",0.0215005100368293,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"42","Cod","EM: P(Fy > Flimit)",0.008875,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"43","Cod","EM: P(SSB < SSBlimit)",0.0020625,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"44","Cod","OM: P(Fy > Flimit)",0.208375,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0129375,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.4119375,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0020625,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"50","Cod","OM: Terminal B",314112.357224159,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"51","Cod","OM: Terminal SSB",107451.82792662,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"52","Cod","OM: Terminal SSB Depletion",107.559387313934,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.329772481125172,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
"54","Cod","OM: Average SSB Depletion",0.364436449035197,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","TRUE",200
