"","Species","Performance metric","ms_mod_ricker_ssp126_OM__ms_run_concmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",72191.3787897432,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"2","Pollock","Catch IAV",0.480602771971205,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"3","Pollock","P(Closed)",0.600694444444444,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"4","Pollock","Avg SSB Relative MSE",97188550165378.3,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"5","Pollock","Avg terminal SSB Relative MSE",3.94642476969172e+31,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"6","Pollock","EM: P(Fy > Flimit)",0.3125,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"7","Pollock","EM: P(SSB < SSBlimit)",0.79375,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"8","Pollock","OM: P(Fy > Flimit)",0.765972222222222,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00486111111111111,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.458333333333333,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.79375,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"14","Pollock","OM: Terminal B",0.00361947589631634,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"15","Pollock","OM: Terminal SSB",9.71024763846198e-08,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"16","Pollock","OM: Terminal SSB Depletion",9.71996760606805e-11,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",4.23558430167247e-13,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"18","Pollock","OM: Average SSB Depletion",0.167519711765511,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"19","Arrowtooth flounder","Average Catch",34218.9406583643,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
"20","Arrowtooth flounder","Catch IAV",0.0912565485390363,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","TRUE",18
