"","Species","Performance metric","SS_OM__SS_estM_Tier3_EM_ATFRup"
"1","Pollock","Average Catch",2349882.73391519
"2","Pollock","Catch IAV",288490.332081104
"3","Pollock","P(Closed)",0.000697674418604651
"4","Pollock","Avg terminal SSB Relative MSE",0.0130729547322836
"5","Pollock","EM: P(Fy > Flimit)",0.0254263565891473
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.977364341085271
"8","Pollock","OM: P(SSB < SSBlimit)",0.00116279069767442
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.951937984496124
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00116279069767442
"13","Pollock","OM: Terminal SSB Depletion",0.367052269830295
"14","Cod","Average Catch",146823.033738645
"15","Cod","Catch IAV",3365.42980341964
"16","Cod","P(Closed)",0.000310077519379845
"17","Cod","Avg terminal SSB Relative MSE",0.000558365831876541
"18","Cod","EM: P(Fy > Flimit)",0.000310077519379845
"19","Cod","EM: P(SSB < SSBlimit)",0
"20","Cod","OM: P(Fy > Flimit)",0.00565891472868217
"21","Cod","OM: P(SSB < SSBlimit)",0
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00534883720930233
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Cod","OM: Terminal SSB Depletion",0.453078171626396
"27","Arrowtooth flounder","Average Catch",44612.8032654871
"28","Arrowtooth flounder","Catch IAV",287.811059877299
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00023200403007994
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0.000542635658914729
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000542635658914729
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: Terminal SSB Depletion",0.575537048051302
