"","Species","Performance metric","MS_OM__SS_estM_Tier3_EM"
"1","Pollock","Average Catch",3472592.31776308
"2","Pollock","Catch IAV",462662.19294542
"3","Pollock","P(Closed)",0.0185271317829457
"4","Pollock","Avg terminal SSB Relative MSE",0.0132040071261192
"5","Pollock","EM: P(Fy > Flimit)",0.0235658914728682
"6","Pollock","EM: P(SSB < SSBlimit)",0.00945736434108527
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.00186046511627907
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0471317829457364
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0075968992248062
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB Depletion",0.869374259155386
"14","Cod","Average Catch",157360.227570312
"15","Cod","Catch IAV",3267.25118391036
"16","Cod","P(Closed)",0
"17","Cod","Avg terminal SSB Relative MSE",0.000506895236424978
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",0
"20","Cod","OM: P(Fy > Flimit)",0
"21","Cod","OM: P(SSB < SSBlimit)",0
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Cod","OM: Terminal SSB Depletion",0.654213143028652
"27","Arrowtooth flounder","Average Catch",50238.6946910888
"28","Arrowtooth flounder","Catch IAV",788.493410635923
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000585292048455934
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.000542635658914729
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000542635658914729
"39","Arrowtooth flounder","OM: Terminal SSB Depletion",0.459843545777173
