"","Species","Performance metric","MS_OM__SS_fixM_dynamicTier3_EM_AllUp"
"1","Pollock","Average Catch",3586563.62813456
"2","Pollock","Catch IAV",162604.723678126
"3","Pollock","P(Closed)",7.75193798449612e-05
"4","Pollock","Avg terminal SSB Relative MSE",0.00512277726149942
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.000155038759689922
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0134883720930233
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000465116279069767
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0404651162790698
"13","Pollock","OM: Terminal SSB/SSBtarget",1.55655818123522
"14","Cod","Average Catch",198387.771463264
"15","Cod","Catch IAV",3839.67672618641
"16","Cod","P(Closed)",0
"17","Cod","Avg terminal SSB Relative MSE",0.000544650074525795
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",0
"20","Cod","OM: P(Fy > Flimit)",0
"21","Cod","OM: P(SSB < SSBlimit)",0.00310077519379845
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00930232558139535
"26","Cod","OM: Terminal SSB/SSBtarget",0.860599180556522
"27","Arrowtooth flounder","Average Catch",43157.3769972758
"28","Arrowtooth flounder","Catch IAV",253.363612742355
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000208798663976952
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.000465116279069767
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0013953488372093
"39","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.636813942000114
