"","X","Species","Performance.metric","MS_Ricker_OM__SS_fixM_dynamicTier1_EM_ConstantR"
"1",1,"Pollock","Average Catch",2261324.08876823
"2",2,"Pollock","Catch IAV",92502.1640964195
"3",3,"Pollock","P(Closed)",0
"4",4,"Pollock","Avg terminal SSB Relative MSE",0.0876074586693994
"5",5,"Pollock","EM: P(Fy > Flimit)",0
"6",6,"Pollock","EM: P(SSB < SSBlimit)",0
"7",7,"Pollock","OM: P(Fy > Flimit)",0
"8",8,"Pollock","OM: P(SSB < SSBlimit)",0
"9",9,"Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10",10,"Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11",11,"Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12",12,"Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13",13,"Pollock","OM: Terminal SSB Depletion",1.09031376917547
"14",14,"Cod","Average Catch",156215.609496608
"15",15,"Cod","Catch IAV",2211.500417639
"16",16,"Cod","P(Closed)",0
"17",17,"Cod","Avg terminal SSB Relative MSE",0.000529816942757329
"18",18,"Cod","EM: P(Fy > Flimit)",0
"19",19,"Cod","EM: P(SSB < SSBlimit)",0
"20",20,"Cod","OM: P(Fy > Flimit)",0
"21",21,"Cod","OM: P(SSB < SSBlimit)",0
"22",22,"Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23",23,"Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24",24,"Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25",25,"Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26",26,"Cod","OM: Terminal SSB Depletion",0.776756690945596
"27",27,"Arrowtooth flounder","Average Catch",50374.7209035072
"28",28,"Arrowtooth flounder","Catch IAV",316.33670735053
"29",29,"Arrowtooth flounder","P(Closed)",0
"30",30,"Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00427669468973016
"31",31,"Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32",32,"Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33",33,"Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34",34,"Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35",35,"Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36",36,"Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37",37,"Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38",38,"Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39",39,"Arrowtooth flounder","OM: Terminal SSB Depletion",0.884869761350401
