"","System","EM","HCR","1. SS fix M","2. w Ricker","3. SS est M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0","0","0.01","0.01","0.01","0.01"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0.01","0.01","0.01","0.01"
"3",NA,NA,"HCR 2a (PFMC)","0","0","0.01","0.01","0.01","0.01"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0.01","0.01","0.01","0.01"
"5",NA,NA,"HCR 3a (SESSF)","0","0","0.01","0.01","0.01","0.01"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0.01","0.01","0.01","0.01"
"7",NA,NA,"HCR 4 (NEFMC)","0","0","0.01","0.01","0.02","0.01"
"8",NA,NA,"HCR 5 (Avg F)","0","0","0.03","0.03","0.03","0.03"
"9",NA,"Est M","HCR 1a (NPFMC)","0","0","0","0","0","0"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0","0"
"11",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0","0"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0","0"
"13",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0","0"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0","0"
"15",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0","0"
"16",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0","0"
"17","GOA","Fix M","HCR 1a (NPFMC)","0","0","0.14","0.14","0.19","0.17"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0.14","0.14","0.19","0.17"
"19",NA,NA,"HCR 2a (PFMC)","0","0","0.15","0.14","0.19","0.18"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0.15","0.14","0.19","0.18"
"21",NA,NA,"HCR 3a (SESSF)","0","0","0.14","0.13","0.17","0.16"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0.14","0.13","0.17","0.16"
"23",NA,NA,"HCR 4 (NEFMC)","0","0","0.13","0.12","0.16","0.15"
"24",NA,NA,"HCR 5 (Avg F)","0","0","0.11","0.1","0.12","0.11"
"25",NA,"Est M","HCR 1a (NPFMC)","0","0","0.01","0.01","0.01","0.01"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0.01","0.01","0.01","0.01"
"27",NA,NA,"HCR 2a (PFMC)","0","0","0.01","0.01","0.01","0.01"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0.01","0.01","0.01","0.01"
"29",NA,NA,"HCR 3a (SESSF)","0","0","0.01","0.01","0.01","0"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0.01","0.01","0.01","0"
"31",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0","0"
"32",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0","0"
