"","Species","Performance.metric","SS_OM__SS_fixM_Tier3_EM_ATFRdown","SS_OM__SS_estM_Tier3_EM_ATFRdown","SSM_OM__SS_fixM_Tier3_EM_ATFRdown","SSM_OM__SS_estM_Tier3_EM_ATFRdown","MS_OM__SS_fixM_Tier3_EM_ATFRdown","MS_OM__SS_estM_Tier3_EM_ATFRdown"
"1","Pollock","Average Catch","151,071","162,422","144,048","138,822","331,951","535,430"
"2","Pollock","Catch IAV"," 21,529"," 24,591"," 18,693"," 17,588"," 26,337"," 72,137"
"3","Pollock","P(Closed)","0","0.01","0","0.01","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0.01","0.02","0.02","0.01","0.02","0.08"
"5","Pollock","EM: P(Fy > Flimit)","0","0.03","0.01","0.02","0","0"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0.01","0","0.01","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0.28","0.57","0.29","0.23","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.04","0.08","0.05","0.04","0.06","0.54"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.28","0.55","0.29","0.21","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.01","0.02","0.01","0.02","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.12","0.24","0.14","0.13","0.18","1.61"
"13","Pollock","OM: Terminal SSB/SSBtarget","0.37","0.34","0.37","0.39","1.24","0.74"
"27","Cod","Average Catch"," 31,823"," 25,976"," 20,282"," 13,747"," 31,216"," 23,990"
"28","Cod","Catch IAV"," 12,806","  6,731"," 12,907","  2,306"," 11,027","  4,433"
"29","Cod","P(Closed)","0.03","0.02","0.06","0.1","0.05","0.03"
"30","Cod","Avg terminal SSB Relative MSE","0.01","0.02","0.15","0.01","0.03","0.01"
"31","Cod","EM: P(Fy > Flimit)","0.02","0","0.1","0","0.04","0"
"32","Cod","EM: P(SSB < SSBlimit)","0.03","0.02","0.05","0.07","0.03","0.03"
"33","Cod","OM: P(Fy > Flimit)","0.06","0","0.93","0.01","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0.07","0.05","0.52","0.1","0.15","0.08"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0.04","0"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.04","0","0.83","0.01","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.09","0.07","0.06","0.14","0.09","0.09"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.21","0.14","1.46","0.23","0.43","0.23"
"39","Cod","OM: Terminal SSB/SSBtarget","0.37","0.46","0.2","0.41","0.38","0.53"
"14","Arrowtooth flounder","Average Catch"," 70,789"," 70,639"," 80,990"," 88,530"," 84,422"," 90,756"
"15","Arrowtooth flounder","Catch IAV","    640","  2,134","    639","  1,883","    592","  1,621"
"16","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0.13","0.01","0.16","0.01"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0.07","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.07","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget","0.37","0.37","0.4","0.36","0.42","0.39"
