"","Species","Performance metric","SSM_OM__SS_fixM_Tier3_EM_ConstantR"
"1","Pollock","Average Catch",144137.511280049
"2","Pollock","Catch IAV",18634.825139624
"3","Pollock","P(Closed)",0.00341269841269841
"4","Pollock","Avg terminal SSB Relative MSE",0.019573519701823
"5","Pollock","EM: P(Fy > Flimit)",0.00484126984126984
"6","Pollock","EM: P(SSB < SSBlimit)",0.00253968253968254
"7","Pollock","OM: P(Fy > Flimit)",0.293015873015873
"8","Pollock","OM: P(SSB < SSBlimit)",0.0466666666666667
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",7.93650793650794e-05
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.288253968253968
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0073015873015873
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.13968253968254
"13","Pollock","OM: Terminal SSB/SSBtarget",0.369809656464245
"14","Arrowtooth flounder","Average Catch",98591.9907611775
"15","Arrowtooth flounder","Catch IAV",502.654988294199
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.133879353759397
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.476564452627717
"27","Cod","Average Catch",20281.5520004687
"28","Cod","Catch IAV",13062.6340956114
"29","Cod","P(Closed)",0.0665079365079365
"30","Cod","Avg terminal SSB Relative MSE",0.156035537843928
"31","Cod","EM: P(Fy > Flimit)",0.104126984126984
"32","Cod","EM: P(SSB < SSBlimit)",0.052962962962963
"33","Cod","OM: P(Fy > Flimit)",0.929920634920635
"34","Cod","OM: P(SSB < SSBlimit)",0.518571428571429
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.825793650793651
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0603174603174603
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",1.45714285714286
"39","Cod","OM: Terminal SSB/SSBtarget",0.195762199818578
