"","Species","Performance metric","SS_OM__SS_fixM_dynamicTier3_EM_AllUp"
"1","Pollock","Average Catch",215313.636378073
"2","Pollock","Catch IAV",27860.1373600756
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00823716934829546
"5","Pollock","EM: P(Fy > Flimit)",0.00246031746031746
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.294365079365079
"8","Pollock","OM: P(SSB < SSBlimit)",0.000158730158730159
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",7.93650793650794e-05
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.291984126984127
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000158730158730159
"13","Pollock","OM: Terminal SSB/SSBtarget",0.514063633895686
"14","Arrowtooth flounder","Average Catch",111305.307678205
"15","Arrowtooth flounder","Catch IAV",447.734670040301
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00287795087619923
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.552171462602009
"27","Cod","Average Catch",45325.8425153216
"28","Cod","Catch IAV",15888.2556727271
"29","Cod","P(Closed)",0.000396825396825397
"30","Cod","Avg terminal SSB Relative MSE",0.00278445063780577
"31","Cod","EM: P(Fy > Flimit)",0.0113492063492063
"32","Cod","EM: P(SSB < SSBlimit)",0.000873015873015873
"33","Cod","OM: P(Fy > Flimit)",0.0499206349206349
"34","Cod","OM: P(SSB < SSBlimit)",0.000714285714285714
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000317460317460317
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0388888888888889
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000317460317460317
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000158730158730159
"39","Cod","OM: Terminal SSB/SSBtarget",0.543560078865147
