"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","    515","    452","    639","    453","    640"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","    491","    447","    581","    447","    581"
"3",NA,NA,"HCR 2a (PFMC)","  1,107","    937"," 1,296","    937","  1,298"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","  1,106","    937"," 1,294","    937","  1,295"
"5",NA,NA,"HCR 3a (SESSF)","    215","    224","    374","    224","    373"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","    215","    224","    246","    224","    246"
"7",NA,NA,"HCR 4 (NEFMC)","    617","    548","    717","    547","    717"
"8",NA,NA,"HCR 5 (Avg F)","  1,284","     19","      7","     19","      8"
"9",NA,"Est M","HCR 1a (NPFMC)","  1,762","  1,423","  2,135","  1,421","  2,134"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","  1,722","  1,401","  2,026","  1,401","  2,025"
"11",NA,NA,"HCR 2a (PFMC)","  2,927","  2,346","  3,433","  2,344","  3,428"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","  2,925","  2,346","  3,430","  2,346","  3,423"
"13",NA,NA,"HCR 3a (SESSF)","    730","    624","    951","    624","    942"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","    729","    624","    842","    624","    841"
"15",NA,NA,"HCR 4 (NEFMC)","  1,643","  1,338","  1,905","  1,336","  1,906"
"16",NA,NA,"HCR 5 (Avg F)","    819","     19","      7","     19","      7"
"17","SS est M","Fix M","HCR 1a (NPFMC)","    503","    496","    639","    496","    639"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","    514","    505","    602","    504","    602"
"19",NA,NA,"HCR 2a (PFMC)","  1,058","    950"," 1,229","    950","  1,229"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","  1,057","    950"," 1,228","    950","  1,227"
"21",NA,NA,"HCR 3a (SESSF)","    236","    272","   336","    271","    338"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","    236","    272","    263","    272","    263"
"23",NA,NA,"HCR 4 (NEFMC)","    608","    581","    699","    582","    699"
"24",NA,NA,"HCR 5 (Avg F)","  1,288","     22","    12","     22","     12"
"25",NA,"Est M","HCR 1a (NPFMC)","  1,504","  1,241","  1,881","  1,240","  1,883"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","  1,444","  1,225","  1,715","  1,224","  1,716"
"27",NA,NA,"HCR 2a (PFMC)","  2,919","  2,376","  3,482","  2,381","  3,482"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","  2,918","  2,378","  3,469","  2,380","  3,468"
"29",NA,NA,"HCR 3a (SESSF)","    610","    572","    949","    571","    961"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","    611","    573","    705","    572","    705"
"31",NA,NA,"HCR 4 (NEFMC)","  1,486","  1,269","  1,753","  1,267","  1,753"
"32",NA,NA,"HCR 5 (Avg F)","    309","     26","    11","     26","     11"
"33","MS","Fix M","HCR 1a (NPFMC)","    479","    483","    592","    481","    592"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","    500","    492","    574","    496","    574"
"35",NA,NA,"HCR 2a (PFMC)","  1,012","    926","  1,160","    927","  1,161"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","  1,013","    928","  1,160","    926","  1,161"
"37",NA,NA,"HCR 3a (SESSF)","    232","    263","    283","    261","    287"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","    232","    263","    253","    261","    253"
"39",NA,NA,"HCR 4 (NEFMC)","    583","    565","    659","    564","    660"
"40",NA,NA,"HCR 5 (Avg F)","    698","     20","     13","    20","     13"
"41",NA,"Est M","HCR 1a (NPFMC)","  1,322","  1,141","  1,620","  1,141","  1,621"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","  1,305","  1,140","  1,516","  1,141","  1,518"
"43",NA,NA,"HCR 2a (PFMC)","  2,608","  2,193","  3,054","  2,189","  3,057"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","  2,607","  2,193","  3,049","  2,189","  3,052"
"45",NA,NA,"HCR 3a (SESSF)","    557","    531","    754","    531","    751"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","    557","    531","    631","    531","    631"
"47",NA,NA,"HCR 4 (NEFMC)","  1,329","  1,172","  1,536","  1,171","  1,538"
"48",NA,NA,"HCR 5 (Avg F)","     32","     22","     11","     22","     11"
