"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0.42","0.44","0.42","0.44","0.42"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.44","0.46","0.43","0.46","0.43"
"3",NA,NA,"HCR 2a (PFMC)","0.36","0.38","0.34","0.38","0.34"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.38","0.4","0.36","0.4","0.36"
"5",NA,NA,"HCR 3a (SESSF)","0.5","0.52","0.48","0.52","0.48"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.52","0.54","0.5","0.54","0.5"
"7",NA,NA,"HCR 4 (NEFMC)","0.42","0.44","0.4","0.44","0.4"
"8",NA,NA,"HCR 5 (Avg F)","0.47","0.82","0.8","0.82","0.8"
"9",NA,"Est M","HCR 1a (NPFMC)","0.43","0.45","0.42","0.45","0.42"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.44","0.46","0.43","0.46","0.43"
"11",NA,NA,"HCR 2a (PFMC)","0.36","0.38","0.34","0.38","0.34"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.37","0.39","0.36","0.39","0.36"
"13",NA,NA,"HCR 3a (SESSF)","0.5","0.52","0.48","0.52","0.48"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.52","0.54","0.5","0.54","0.5"
"15",NA,NA,"HCR 4 (NEFMC)","0.4","0.43","0.39","0.43","0.39"
"16",NA,NA,"HCR 5 (Avg F)","0.55","0.82","0.8","0.82","0.8"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0.48","0.5","0.47","0.5","0.47"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.5","0.52","0.49","0.52","0.49"
"19",NA,NA,"HCR 2a (PFMC)","0.42","0.44","0.4","0.44","0.4"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.43","0.45","0.42","0.45","0.42"
"21",NA,NA,"HCR 3a (SESSF)","0.55","0.57","0.53","0.57","0.53"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.57","0.59","0.56","0.59","0.56"
"23",NA,NA,"HCR 4 (NEFMC)","0.47","0.49","0.45","0.49","0.45"
"24",NA,NA,"HCR 5 (Avg F)","0.5","0.86","0.84","0.86","0.84"
"25",NA,"Est M","HCR 1a (NPFMC)","0.43","0.44","0.42","0.44","0.42"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.44","0.46","0.43","0.46","0.43"
"27",NA,NA,"HCR 2a (PFMC)","0.35","0.37","0.34","0.37","0.34"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.37","0.38","0.35","0.38","0.35"
"29",NA,NA,"HCR 3a (SESSF)","0.5","0.52","0.48","0.52","0.48"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.52","0.54","0.5","0.54","0.5"
"31",NA,NA,"HCR 4 (NEFMC)","0.41","0.42","0.39","0.42","0.39"
"32",NA,NA,"HCR 5 (Avg F)","0.61","0.85","0.83","0.85","0.83"
"33","MS","Fix M","HCR 1a (NPFMC)","0.5","0.6","0.47","0.6","0.47"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0.5","0.6","0.47","0.6","0.47"
"35",NA,NA,"HCR 2a (PFMC)","0.44","0.53","0.4","0.53","0.4"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0.44","0.53","0.4","0.53","0.4"
"37",NA,NA,"HCR 3a (SESSF)","0.57","0.68","0.53","0.68","0.53"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","0.57","0.68","0.53","0.68","0.53"
"39",NA,NA,"HCR 4 (NEFMC)","0.49","0.59","0.46","0.59","0.46"
"40",NA,NA,"HCR 5 (Avg F)","0.62","0.99","0.81","0.99","0.81"
"41",NA,"Est M","HCR 1a (NPFMC)","0.46","0.56","0.44","0.56","0.44"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0.47","0.56","0.43","0.56","0.43"
"43",NA,NA,"HCR 2a (PFMC)","0.39","0.47","0.36","0.47","0.36"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0.39","0.47","0.36","0.47","0.36"
"45",NA,NA,"HCR 3a (SESSF)","0.54","0.64","0.5","0.64","0.5"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0.54","0.64","0.5","0.64","0.5"
"47",NA,NA,"HCR 4 (NEFMC)","0.45","0.54","0.42","0.54","0.42"
"48",NA,NA,"HCR 5 (Avg F)","0.83","0.98","0.81","0.98","0.81"
