"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","151,077","216,631","117,329","151,064","151,071"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","153,351","215,539","121,809","153,278","153,257"
"3",NA,NA,"HCR 2a (PFMC)","118,650","165,478","94,457","118,498","118,571"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","119,093","165,909","95,592","118,944","119,021"
"5",NA,NA,"HCR 3a (SESSF)","132,204","187,928","101,851","132,065","131,947"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","135,193","188,583","108,220","135,273","135,475"
"7",NA,NA,"HCR 4 (NEFMC)","156,603","218,401","124,716","156,224","156,293"
"8",NA,NA,"HCR 5 (Avg F)","129,805","174,274","100,040","124,762","124,746"
"9",NA,"Est M","HCR 1a (NPFMC)","162,486","235,409","125,642","162,581","162,422"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","164,770","234,168","130,405","164,475","164,353"
"11",NA,NA,"HCR 2a (PFMC)","150,805","214,829","119,273","150,573","150,846"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","150,780","214,413","119,942","150,644","150,374"
"13",NA,NA,"HCR 3a (SESSF)","150,349","216,334","115,677","150,514","150,697"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","152,460","217,403","120,918","151,821","152,653"
"15",NA,NA,"HCR 4 (NEFMC)","172,666","249,955","141,241","176,622","177,381"
"16",NA,NA,"HCR 5 (Avg F)","128,697","191,135","106,506","134,297","133,981"
"17","SS est M","Fix M","HCR 1a (NPFMC)","144,138","205,693","111,833","144,041","144,048"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","146,308","204,718","116,243","146,044","146,238"
"19",NA,NA,"HCR 2a (PFMC)","114,587","159,116","91,407","114,439","114,330"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","114,872","159,295","92,108","114,670","114,926"
"21",NA,NA,"HCR 3a (SESSF)","127,114","179,939","98,135","127,152","126,877"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","129,636","180,305","103,874","129,484","129,440"
"23",NA,NA,"HCR 4 (NEFMC)","149,022","208,750","119,016","148,327","148,395"
"24",NA,NA,"HCR 5 (Avg F)","138,288","165,960","95,374","118,680","119,022"
"25",NA,"Est M","HCR 1a (NPFMC)","139,497","195,183","105,971","139,363","138,822"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","135,186","192,679","109,474","135,389","134,959"
"27",NA,NA,"HCR 2a (PFMC)","136,486","174,939","100,392","124,802","124,369"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","121,327","171,814"," 98,974","123,123","123,440"
"29",NA,NA,"HCR 3a (SESSF)","121,767","184,182","100,744","132,431","130,796"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","122,515","180,098","102,810","129,422","128,439"
"31",NA,NA,"HCR 4 (NEFMC)","150,557","211,558","121,531","150,996","150,917"
"32",NA,NA,"HCR 5 (Avg F)","142,648","162,801","93,103","116,887","117,070"
"33","MS","Fix M","HCR 1a (NPFMC)","294,308","336,653","255,719","233,008","331,951"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","293,632","332,708","256,929","235,468","330,353"
"35",NA,NA,"HCR 2a (PFMC)","215,151","248,766","188,121","177,933","239,263"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","215,003","248,937","188,357","179,044","239,718"
"37",NA,NA,"HCR 3a (SESSF)","223,488","254,570","196,122","177,123","252,340"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","223,932","255,057","197,104","182,000","253,629"
"39",NA,NA,"HCR 4 (NEFMC)","299,872","340,813","263,207","242,257","338,819"
"40",NA,NA,"HCR 5 (Avg F)","160,357","138,193","111,415","99,647","141,747"
"41",NA,"Est M","HCR 1a (NPFMC)","467,494","525,978","405,488","364,268","535,430"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","467,352","525,174","409,771","369,720","535,204"
"43",NA,NA,"HCR 2a (PFMC)","445,938","510,928","389,274","358,810","500,423"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","448,314","509,057","390,304","360,581","503,188"
"45",NA,NA,"HCR 3a (SESSF)","387,514","433,030","339,293","298,603","446,070"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","388,238","435,361","344,018","305,454","447,622"
"47",NA,NA,"HCR 4 (NEFMC)","499,336","561,018","437,900","396,563","566,826"
"48",NA,NA,"HCR 5 (Avg F)","127,912","163,194","128,448","114,948","165,065"
