"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0.37","0.38","0.37","0.37","0.37"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.37","0.38","0.36","0.37","0.37"
"3",NA,NA,"HCR 2a (PFMC)","0.49","0.5","0.48","0.49","0.49"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.48","0.5","0.47","0.48","0.48"
"5",NA,NA,"HCR 3a (SESSF)","0.44","0.45","0.44","0.44","0.44"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.43","0.44","0.42","0.43","0.43"
"7",NA,NA,"HCR 4 (NEFMC)","0.36","0.37","0.34","0.36","0.36"
"8",NA,NA,"HCR 5 (Avg F)","0.45","0.48","0.45","0.47","0.47"
"9",NA,"Est M","HCR 1a (NPFMC)","0.34","0.34","0.34","0.34","0.34"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.33","0.34","0.32","0.33","0.33"
"11",NA,NA,"HCR 2a (PFMC)","0.38","0.39","0.37","0.38","0.38"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.38","0.39","0.37","0.38","0.38"
"13",NA,NA,"HCR 3a (SESSF)","0.38","0.39","0.38","0.38","0.38"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.37","0.38","0.36","0.37","0.37"
"15",NA,NA,"HCR 4 (NEFMC)","0.29","0.3","0.28","0.29","0.29"
"16",NA,NA,"HCR 5 (Avg F)","0.46","0.45","0.42","0.44","0.44"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0.37","0.37","0.37","0.37","0.37"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.36","0.37","0.35","0.36","0.36"
"19",NA,NA,"HCR 2a (PFMC)","0.48","0.5","0.47","0.48","0.48"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.48","0.49","0.47","0.48","0.48"
"21",NA,NA,"HCR 3a (SESSF)","0.43","0.44","0.44","0.43","0.43"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.42","0.44","0.41","0.42","0.42"
"23",NA,NA,"HCR 4 (NEFMC)","0.35","0.36","0.34","0.35","0.35"
"24",NA,NA,"HCR 5 (Avg F)","0.39","0.48","0.45","0.47","0.46"
"25",NA,"Est M","HCR 1a (NPFMC)","0.39","0.4","0.4","0.39","0.39"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.4","0.4","0.39","0.4","0.4"
"27",NA,NA,"HCR 2a (PFMC)","0.4","0.45","0.43","0.44","0.44"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.45","0.46","0.43","0.44","0.44"
"29",NA,NA,"HCR 3a (SESSF)","0.45","0.43","0.43","0.41","0.42"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.45","0.44","0.42","0.42","0.43"
"31",NA,NA,"HCR 4 (NEFMC)","0.34","0.35","0.33","0.34","0.34"
"32",NA,NA,"HCR 5 (Avg F)","0.38","0.48","0.46","0.47","0.47"
"33","MS","Fix M","HCR 1a (NPFMC)","1.06","1.1","0.98","0.96","1.1"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","1.06","1.11","0.98","0.94","1.11"
"35",NA,NA,"HCR 2a (PFMC)","1.42","1.52","1.31","1.32","1.45"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","1.42","1.52","1.3","1.31","1.45"
"37",NA,NA,"HCR 3a (SESSF)","1.11","1.15","1.03","0.99","1.17"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","1.11","1.15","1.03","0.97","1.16"
"39",NA,NA,"HCR 4 (NEFMC)","1.06","1.1","0.98","0.93","1.1"
"40",NA,NA,"HCR 5 (Avg F)","1.16","0.92","0.87","0.76","0.99"
"41",NA,"Est M","HCR 1a (NPFMC)","0.64","0.66","0.6","0.58","0.66"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0.64","0.66","0.6","0.57","0.67"
"43",NA,NA,"HCR 2a (PFMC)","0.85","0.88","0.78","0.78","0.88"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0.84","0.89","0.78","0.77","0.87"
"45",NA,NA,"HCR 3a (SESSF)","0.71","0.72","0.67","0.63","0.74"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0.7","0.71","0.66","0.61","0.74"
"47",NA,NA,"HCR 4 (NEFMC)","0.58","0.6","0.55","0.51","0.62"
"48",NA,NA,"HCR 5 (Avg F)","0.92","0.86","0.82","0.71","0.95"
