"","Species","Performance metric","SS_OM__SS_fixM_Fspr_EM"
"1","Pollock","Average Catch",110982.299658966
"2","Pollock","Catch IAV",9389.73088407998
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00718668517432441
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.000238095238095238
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0053968253968254
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00515873015873016
"13","Pollock","OM: Terminal SSB Depletion",0.547458450461124
"14","Arrowtooth flounder","Average Catch",65848.5814444623
"15","Arrowtooth flounder","Catch IAV",137.091266456645
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00114430635035085
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.553047217789571
"27","Cod","Average Catch",23003.2050619187
"28","Cod","Catch IAV",4203.46420863529
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.00209882574958842
"31","Cod","EM: P(Fy > Flimit)",0.000158730158730159
"32","Cod","EM: P(SSB < SSBlimit)",0.0515873015873016
"33","Cod","OM: P(Fy > Flimit)",0.000396825396825397
"34","Cod","OM: P(SSB < SSBlimit)",0.0565873015873016
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000238095238095238
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000158730158730159
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00515873015873016
"39","Cod","OM: Terminal SSB Depletion",0.455991742349114
