"","X","Species","Performance.metric","SS_OM__SS_fixM_AvgF_EM_ConstantR"
"1",1,"Pollock","Average Catch",127483.964749572
"2",2,"Pollock","Catch IAV",12565.9719345186
"3",3,"Pollock","P(Closed)",0
"4",4,"Pollock","Avg terminal SSB Relative MSE",0.00703959497681457
"5",5,"Pollock","EM: P(Fy > Flimit)",0
"6",6,"Pollock","EM: P(SSB < SSBlimit)",0.000158730158730159
"7",7,"Pollock","OM: P(Fy > Flimit)",0
"8",8,"Pollock","OM: P(SSB < SSBlimit)",0.619365079365079
"9",9,"Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10",10,"Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11",11,"Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12",12,"Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.619206349206349
"13",13,"Pollock","OM: Terminal SSB Depletion",0.490845314945026
"14",14,"Arrowtooth flounder","Average Catch",19019.4613485306
"15",15,"Arrowtooth flounder","Catch IAV",7.00135904863177
"16",16,"Arrowtooth flounder","P(Closed)",0
"17",17,"Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000123015242380386
"18",18,"Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19",19,"Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20",20,"Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21",21,"Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22",22,"Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23",23,"Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24",24,"Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25",25,"Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26",26,"Arrowtooth flounder","OM: Terminal SSB Depletion",0.827473218886065
"27",27,"Cod","Average Catch",23263.9997216148
"28",28,"Cod","Catch IAV",4307.48186553116
"29",29,"Cod","P(Closed)",0
"30",30,"Cod","Avg terminal SSB Relative MSE",0.00210599581017178
"31",31,"Cod","EM: P(Fy > Flimit)",0.0712698412698413
"32",32,"Cod","EM: P(SSB < SSBlimit)",0.0457142857142857
"33",33,"Cod","OM: P(Fy > Flimit)",0.18984126984127
"34",34,"Cod","OM: P(SSB < SSBlimit)",0.64031746031746
"35",35,"Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00841269841269841
"36",36,"Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.126984126984127
"37",37,"Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38",38,"Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.594603174603175
"39",39,"Cod","OM: Terminal SSB Depletion",0.451290527848657
