"","X","Species","Performance.metric","SS_OM__SS_fixM_Cat1_EM_ConstantR"
"1",1,"Pollock","Average Catch",141129.225815753
"2",2,"Pollock","Catch IAV",14519.7712064793
"3",3,"Pollock","P(Closed)",0
"4",4,"Pollock","Avg terminal SSB Relative MSE",0.00586505204206828
"5",5,"Pollock","EM: P(Fy > Flimit)",0.0073015873015873
"6",6,"Pollock","EM: P(SSB < SSBlimit)",0.0323809523809524
"7",7,"Pollock","OM: P(Fy > Flimit)",0.0119047619047619
"8",8,"Pollock","OM: P(SSB < SSBlimit)",0.0834126984126984
"9",9,"Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00714285714285714
"10",10,"Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0117460317460317
"11",11,"Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00119047619047619
"12",12,"Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0522222222222222
"13",13,"Pollock","OM: Terminal SSB Depletion",0.443851551831178
"14",14,"Arrowtooth flounder","Average Catch",89360.6263717022
"15",15,"Arrowtooth flounder","Catch IAV",707.034403882495
"16",16,"Arrowtooth flounder","P(Closed)",0
"17",17,"Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00387772367589289
"18",18,"Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19",19,"Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20",20,"Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21",21,"Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22",22,"Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23",23,"Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24",24,"Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25",25,"Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26",26,"Arrowtooth flounder","OM: Terminal SSB Depletion",0.401043240455536
"27",27,"Cod","Average Catch",26051.2430605596
"28",28,"Cod","Catch IAV",6828.89125158745
"29",29,"Cod","P(Closed)",0
"30",30,"Cod","Avg terminal SSB Relative MSE",0.00249932621965377
"31",31,"Cod","EM: P(Fy > Flimit)",0.213730158730159
"32",32,"Cod","EM: P(SSB < SSBlimit)",0.0887301587301587
"33",33,"Cod","OM: P(Fy > Flimit)",0.42015873015873
"34",34,"Cod","OM: P(SSB < SSBlimit)",0.134444444444444
"35",35,"Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0268253968253968
"36",36,"Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.233253968253968
"37",37,"Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00166666666666667
"38",38,"Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0473809523809524
"39",39,"Cod","OM: Terminal SSB Depletion",0.401892094270638
