"","Species","Performance metric","SS_OM__SS_fixM_dynamicTier3_EM_AllDown"
"1","Pollock","Average Catch",121809.488253436
"2","Pollock","Catch IAV",15194.4494579761
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00797731535268806
"5","Pollock","EM: P(Fy > Flimit)",0.0261111111111111
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.723333333333333
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000238095238095238
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.697460317460317
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB/SSBtarget",0.295991012328109
"14","Arrowtooth flounder","Average Catch",72687.3454474895
"15","Arrowtooth flounder","Catch IAV",580.503228235457
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00236209124753909
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.358086996520785
"27","Cod","Average Catch",24841.1133051332
"28","Cod","Catch IAV",9629.80915878912
"29","Cod","P(Closed)",0.000952380952380952
"30","Cod","Avg terminal SSB Relative MSE",0.00258038653718747
"31","Cod","EM: P(Fy > Flimit)",0.0712698412698413
"32","Cod","EM: P(SSB < SSBlimit)",0.000238095238095238
"33","Cod","OM: P(Fy > Flimit)",0.151428571428571
"34","Cod","OM: P(SSB < SSBlimit)",0.000317460317460317
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00222222222222222
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0823809523809524
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",7.93650793650794e-05
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000158730158730159
"39","Cod","OM: Terminal SSB/SSBtarget",0.289819614477988
