"","Species","Performance metric","SS_OM__SS_fixM_dynamicTier3_EM_ATFRup"
"1","Pollock","Average Catch",153277.861680058
"2","Pollock","Catch IAV",19069.4943580944
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00805946245505205
"5","Pollock","EM: P(Fy > Flimit)",0.0234126984126984
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.662539682539683
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.639126984126984
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB/SSBtarget",0.367797917884373
"14","Arrowtooth flounder","Average Catch",111369.838044742
"15","Arrowtooth flounder","Catch IAV",446.69927276759
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00287038974061387
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.551769252945976
"27","Cod","Average Catch",31701.3216819673
"28","Cod","Catch IAV",11493.3246213479
"29","Cod","P(Closed)",0.000952380952380952
"30","Cod","Avg terminal SSB Relative MSE",0.00275385797839162
"31","Cod","EM: P(Fy > Flimit)",0.0600793650793651
"32","Cod","EM: P(SSB < SSBlimit)",0.000317460317460317
"33","Cod","OM: P(Fy > Flimit)",0.122142857142857
"34","Cod","OM: P(SSB < SSBlimit)",0.000317460317460317
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00150793650793651
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0635714285714286
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",7.93650793650794e-05
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",7.93650793650794e-05
"39","Cod","OM: Terminal SSB/SSBtarget",0.373986683392409
