"","Species","Performance metric","SSM_Ricker_OM__SS_fixM_dynamicTier3_EM_ConstantR"
"1","Pollock","Average Catch",293100.489089554
"2","Pollock","Catch IAV",34448.3791133603
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0421980135265439
"5","Pollock","EM: P(Fy > Flimit)",0.00126984126984127
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.798492063492063
"8","Pollock","OM: P(SSB < SSBlimit)",0.70531746031746
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000952380952380952
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",1.59539682539683
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.70531746031746
"13","Pollock","OM: Terminal SSB Depletion",0.31440823598155
"14","Arrowtooth flounder","Average Catch",134254.500553399
"15","Arrowtooth flounder","Catch IAV",435.410874593328
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.12186093595501
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.533299329267736
"27","Cod","Average Catch",42777.2101013425
"28","Cod","Catch IAV",14883.9395081142
"29","Cod","P(Closed)",0.0320634920634921
"30","Cod","Avg terminal SSB Relative MSE",0.12922871401992
"31","Cod","EM: P(Fy > Flimit)",0.103888888888889
"32","Cod","EM: P(SSB < SSBlimit)",0.0261904761904762
"33","Cod","OM: P(Fy > Flimit)",0.967936507936508
"34","Cod","OM: P(SSB < SSBlimit)",0.186507936507937
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.028968253968254
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",1.75706349206349
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.16031746031746
"39","Cod","OM: Terminal SSB Depletion",0.356625083283349
