"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_ConstantR"
"1","Pollock","Average Catch",156117.664264989
"2","Pollock","Catch IAV",23506.1666303166
"3","Pollock","P(Closed)",0.0288888888888889
"4","Pollock","Avg terminal SSB Relative MSE",0.00427802576112201
"5","Pollock","EM: P(Fy > Flimit)",0.377698412698413
"6","Pollock","EM: P(SSB < SSBlimit)",0.0108730158730159
"7","Pollock","OM: P(Fy > Flimit)",NA
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",NA
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",NA
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0108730158730159
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB Depletion",1.64232186170582
"14","Arrowtooth flounder","Average Catch",86977.6076004646
"15","Arrowtooth flounder","Catch IAV",631.781333277738
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00332544656739155
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0.00158730158730159
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",NA
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",NA
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",NA
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.640398225975355
"27","Cod","Average Catch",32959.3509745696
"28","Cod","Catch IAV",11118.1235542131
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.012751626046136
"31","Cod","EM: P(Fy > Flimit)",0.196190476190476
"32","Cod","EM: P(SSB < SSBlimit)",0.0544444444444444
"33","Cod","OM: P(Fy > Flimit)",NA
"34","Cod","OM: P(SSB < SSBlimit)",0
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",NA
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",NA
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0544444444444444
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Cod","OM: Terminal SSB Depletion",0.828912733864246
