"","Species","Performance metric","MS_OM__SS_estM_Fspr_EM_ATFRdown"
"1","Pollock","Average Catch",566825.920657927
"2","Pollock","Catch IAV",70642.3748895898
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0809902962672299
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.0111111111111111
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.048968253968254
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000238095238095238
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0380952380952381
"13","Pollock","OM: Terminal SSB Depletion",0.622324316127896
"14","Arrowtooth flounder","Average Catch",95478.9479379608
"15","Arrowtooth flounder","Catch IAV",1537.62620404362
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0115120068404801
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.000396825396825397
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000396825396825397
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.416636392247679
"27","Cod","Average Catch",23723.2607250887
"28","Cod","Catch IAV",3436.8304665424
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.013979226316079
"31","Cod","EM: P(Fy > Flimit)",0.0213492063492064
"32","Cod","EM: P(SSB < SSBlimit)",0.0563492063492064
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0.0329365079365079
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0213492063492064
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0261904761904762
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00277777777777778
"39","Cod","OM: Terminal SSB Depletion",0.553991231586746
