"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_ATFRup"
"1","Pollock","Average Catch",151064.431073549
"2","Pollock","Catch IAV",21489.0369221373
"3","Pollock","P(Closed)",0.00484126984126984
"4","Pollock","Avg terminal SSB Relative MSE",0.00769224989266525
"5","Pollock","EM: P(Fy > Flimit)",0.0382539682539683
"6","Pollock","EM: P(SSB < SSBlimit)",0.000873015873015873
"7","Pollock","OM: P(Fy > Flimit)",0.690873015873016
"8","Pollock","OM: P(SSB < SSBlimit)",0.0134920634920635
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000793650793650794
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.653412698412698
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0126190476190476
"13","Pollock","OM: Terminal SSB/SSBtarget",0.374777531016092
"14","Arrowtooth flounder","Average Catch",111297.381359513
"15","Arrowtooth flounder","Catch IAV",452.505876835177
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00289769220513373
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0.00150793650793651
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00150793650793651
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.552450869637195
"27","Cod","Average Catch",31822.3048013301
"28","Cod","Catch IAV",12820.5592117977
"29","Cod","P(Closed)",0.0300793650793651
"30","Cod","Avg terminal SSB Relative MSE",0.00602121982890158
"31","Cod","EM: P(Fy > Flimit)",0.0611904761904762
"32","Cod","EM: P(SSB < SSBlimit)",0.0329365079365079
"33","Cod","OM: P(Fy > Flimit)",0.258888888888889
"34","Cod","OM: P(SSB < SSBlimit)",0.0534126984126984
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000317460317460317
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.198015873015873
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0204761904761905
"39","Cod","OM: Terminal SSB/SSBtarget",0.374288657083608
